image_path,label,code,date,future_return
data\images\train\hk.00001\2020-03-30.png,1,hk.00001,2020-03-30,0.0845481049562681
data\images\train\hk.00001\2020-03-31.png,1,hk.00001,2020-03-31,0.10133843212237102
data\images\train\hk.00001\2020-04-01.png,1,hk.00001,2020-04-01,0.08357348703170032
data\images\train\hk.00001\2020-04-02.png,1,hk.00001,2020-04-02,0.10200190657769292
data\images\train\hk.00001\2020-04-03.png,1,hk.00001,2020-04-03,0.10380952380952387
data\images\train\hk.00001\2020-04-06.png,1,hk.00001,2020-04-06,0.02956989247311838
data\images\train\hk.00001\2020-04-07.png,0,hk.00001,2020-04-07,-0.012152777777777827
data\images\train\hk.00001\2020-04-08.png,1,hk.00001,2020-04-08,0.030141843971631256
data\images\train\hk.00001\2020-04-09.png,0,hk.00001,2020-04-09,-0.011245674740484405
data\images\train\hk.00001\2020-04-14.png,0,hk.00001,2020-04-14,-0.04055220017256258
data\images\train\hk.00001\2020-04-15.png,0,hk.00001,2020-04-15,-0.017406440382941687
data\images\train\hk.00001\2020-04-16.png,0,hk.00001,2020-04-16,-0.0123022847100175
data\images\train\hk.00001\2020-04-17.png,0,hk.00001,2020-04-17,-0.04905335628227197
data\images\train\hk.00001\2020-04-20.png,0,hk.00001,2020-04-20,-0.023622047244094512
data\images\train\hk.00001\2020-04-21.png,1,hk.00001,2020-04-21,0.02428057553956837
data\images\train\hk.00001\2020-04-22.png,0,hk.00001,2020-04-22,0.016829052258635884
data\images\train\hk.00001\2020-04-23.png,0,hk.00001,2020-04-23,-0.01601423487544494
data\images\train\hk.00001\2020-04-24.png,0,hk.00001,2020-04-24,0.010859728506787356
data\images\train\hk.00001\2020-04-27.png,0,hk.00001,2020-04-27,0.01612903225806462
data\images\train\hk.00001\2020-04-28.png,0,hk.00001,2020-04-28,-0.01755926251097454
data\images\train\hk.00001\2020-04-29.png,0,hk.00001,2020-04-29,-0.010452961672473893
data\images\train\hk.00001\2020-05-04.png,1,hk.00001,2020-05-04,0.03435804701627497
data\images\train\hk.00001\2020-05-05.png,0,hk.00001,2020-05-05,0.0026857654431512727
data\images\train\hk.00001\2020-05-06.png,0,hk.00001,2020-05-06,-0.006172839506172864
data\images\train\hk.00001\2020-05-07.png,0,hk.00001,2020-05-07,0.0
data\images\train\hk.00001\2020-05-08.png,0,hk.00001,2020-05-08,-0.022887323943661924
data\images\train\hk.00001\2020-05-11.png,0,hk.00001,2020-05-11,-0.019230769230769256
data\images\train\hk.00001\2020-05-12.png,0,hk.00001,2020-05-12,-0.017857142857142856
data\images\train\hk.00001\2020-05-13.png,0,hk.00001,2020-05-13,-0.03904170363797698
data\images\train\hk.00001\2020-05-14.png,0,hk.00001,2020-05-14,-0.04736371760500457
data\images\train\hk.00001\2020-05-15.png,0,hk.00001,2020-05-15,-0.1036036036036036
data\images\train\hk.00001\2020-05-18.png,0,hk.00001,2020-05-18,-0.12655971479500894
data\images\train\hk.00001\2020-05-19.png,0,hk.00001,2020-05-19,-0.08454545454545452
